Economy,fixed_2017,fixed_2018,fixed_2019,fixed_2020,fixed_2021,fixed_2022,fixed_2023
Afghanistan,0.25,0.15,0.15,0.15,0.15,0.15,
Albania,0.02,0.02,0.02,0.01,0.02,0.01,
Algeria,0.04,0.04,0.04,0.04,0.05,0.04,
Andorra,0.01,,,,,,
Angola,0.15,0.09,0.09,0.09,0.16,0.12,
Antigua and Barbuda,0.04,0.04,0.04,0.03,0.05,0.05,
Argentina,0.04,0.05,0.06,0.07,0.05,0.06,
Armenia,0.03,0.03,0.03,0.03,0.04,0.04,
Aruba,,0.03,0.03,0.03,0.03,0.03,
Australia,0.01,0.01,0.01,0.01,0.01,0.01,
Austria,0.01,0.01,0.01,0.01,0.01,0.01,
Azerbaijan,0.02,0.02,0.02,0.02,0.02,0.02,
Bahamas,0.01,0.01,0.01,0.01,0.02,0.02,
Bahrain,0.02,0.01,0.02,0.02,0.02,0.03,
Bangladesh,0.04,0.03,0.03,0.03,0.02,0.02,
Barbados,0.03,0.03,0.03,0.03,0.04,0.04,
Belarus,0.01,0.01,0.01,0.01,0.01,0.01,
Belgium,0.01,0.01,0.01,0.01,0.01,0.01,
Belize,0.05,0.09,0.09,0.09,0.1,0.07,
Benin,0.39,0.37,0.4,0.26,0.26,0.23,
Bhutan,0.04,0.03,0.03,0.03,0.03,0.03,
Bolivia,0.1,0.08,0.08,0.08,0.09,0.08,
Bosnia and Herzegovina,0.01,0.03,0.03,0.02,0.02,0.02,
Botswana,0.05,0.04,0.04,0.04,0.07,0.1,
Brazil,0.02,0.01,0.01,0.03,0.03,0.03,
Brunei Darussalam,0.01,0.01,0.01,0.01,0.01,0.01,
Bulgaria,0.02,0.02,0.02,0.02,0.02,0.02,
Burkina Faso,0.42,0.41,0.41,0.34,0.33,0.31,
Burundi,3.11,,,,,,
Cabo Verde,0.04,0.04,0.04,0.03,0.03,0.03,
Cambodia,0.12,0.1,0.1,0.12,0.12,0.12,
Cameroon,0.23,0.22,0.22,0.21,0.21,0.2,
Canada,0.01,0.01,0.01,0.01,0.01,0.01,
Cayman Islands,,,,0.02,0.02,0.02,
Central African Rep.,,,,,,,
Chad,,,,,,,
Chile,0.03,0.03,0.03,0.03,0.03,0.02,
China,0.02,0.01,0.01,0.01,0.01,0,
Colombia,0.04,0.04,0.04,0.04,0.04,0.04,
Comoros,0.54,0.33,0.33,0.29,0.3,0.29,
Congo,0.53,0.2,0.2,0.17,0.31,0.31,
Costa Rica,0.02,0.02,0.02,0.02,0.02,0.02,
Croatia,0.01,0.02,0.01,0.01,0.01,0.01,
Cuba,,,,0.07,,,
Curacao,,0.02,0.02,0.03,0.04,0.04,
Cyprus,0.01,0.01,0.01,0.01,0.01,0.01,
Czech Republic,0.01,0.01,0.01,0.01,0.01,0.01,
Cote d'Ivoire,0.25,0.26,0.26,0.18,0.16,0.13,
Dem. Rep. Congo,,,,,,,
Denmark,0.01,0.01,0.01,0.01,0.01,0.01,
Djibouti,0.1,0.09,0.09,0.05,0.09,0.09,
Dominica,0.06,0.06,0.06,0.05,0.06,0.06,
Dominican Rep.,0.04,0.03,0.03,0.03,0.03,0.03,
Ecuador,0.05,0.05,0.05,0.05,0.05,0.05,
Egypt,0.01,0.03,0.03,0.03,0.03,0.03,
El Salvador,0.07,0.08,0.08,0.08,0.1,0.07,
Eq. Guinea,0.19,,,0.18,0.21,0.13,
Eritrea,,,,,,0.19,
Estonia,0.01,0.01,0.01,0.01,0.01,0.01,
Eswatini,0.19,0.15,0.15,0.15,0.14,0.13,
Ethiopia,0.18,0.31,0.31,0.25,0.21,0.16,
Faroe Islands,,,,0.02,0.01,0.01,
Fiji,0.02,0.04,0.04,0.04,0.05,0.02,
Finland,0.01,0.01,0.01,0.01,0.01,0.01,
France,0.01,0.01,0.01,0.01,0.01,0.01,
French Polynesia,0.6,,,,,,
Gabon,0.04,0.08,0.08,0.07,0.08,0.07,
Gambia,0.981,0.981,0.981,0.981,0.981,0.981,
Georgia,0.03,0.03,0.03,0.03,0.03,0.02,
Germany,0.01,0.01,0.01,0.01,0.01,0.01,
Ghana,0.19,0.1,,0.13,0.13,0.13,
Greece,0.01,0.01,0.01,0.01,0.03,0.02,
Greenland,,,,,,0.03,
Grenada,0.05,0.05,0.05,0.05,0.06,0.05,
Guatemala,0.06,0.05,0.06,0.08,0.07,0.06,
Guinea,0.12,0.17,0.17,0.13,0.11,0.11,
Guinea-Bissau,,0.73,0.73,0.69,0.71,0.67,
Guyana,0.08,0.08,0.08,0.07,0.06,0.04,
Haiti,1.55,0.83,0.83,0.84,0.53,0.42,
Honduras,0.14,0.18,0.18,0.14,0.15,0.13,
Hong Kong,0,0,0.01,0.01,0.01,0,
Hungary,0.02,0.02,0.02,0.01,0.01,0.01,
Iceland,0.01,0.01,0.02,0.01,0.01,0.01,
India,0.04,0.03,0.03,0.03,0.03,0.03,
Indonesia,0.08,0.06,0.09,0.11,0.08,0.06,
Iran,0.01,0.01,0.01,0.01,,,
Iraq,0.05,0.05,0.05,,,,
Ireland,0.01,0.01,0.01,0.01,0.01,0.01,
Israel,0.01,0.01,0.01,0.01,0.01,0.01,
Italy,0.02,0.01,0.01,0.01,0.01,0.01,
Jamaica,0.09,0.06,0.06,0.06,0.08,0.09,
Japan,0.01,0.01,0.01,0.01,0.01,0.01,
Jordan,0.08,0.1,0.1,0.12,0.11,0.07,
Kazakhstan,0.01,0.01,0.01,0.01,0.01,0.01,
Kenya,0.38,0.18,0.18,0.16,0.18,0.17,
Kiribati,0.83,,,,,,
North Korea,1,1,1,1,1,1,
South Korea,0.01,0.01,0.01,0.01,0.01,0.01,
Kuwait,0,0,0,0,0.02,0.01,
Kyrgyzstan,0.09,0.11,0.08,0.08,0.04,0.06,
Laos,0.09,0.09,0.09,0.08,0.07,0.07,
Latvia,0.02,0.01,0.02,0.01,0.02,0.01,
Lebanon,0.02,0.03,0.03,0.03,0.02,0.01,
Lesotho,0.11,0.07,0.07,0.06,0.07,0.06,
Liberia,,,,,,,
Libya,0.04,,0.03,0.02,0.04,0.01,
Liechtenstein,,,,0,0,0,
Lithuania,0.01,0.01,0.01,0.01,0.01,0.01,
Luxembourg,0.01,0.01,0.01,0.01,0.01,0.01,
"Macao, China",0,0,0,0,0,0.01,
Madagascar,1.92,2.04,2.04,1.63,1.64,0.93,
Malawi,0.26,1.2,1.2,1.08,0.63,0.64,
Malaysia,0.01,0.01,0.02,0.02,0.02,0.02,
Maldives,0.03,0.03,0.03,0.03,0.04,0.03,
Mali,0.27,0.26,0.26,0.23,0.25,0.24,
Malta,0.02,0.01,0.01,0.01,0.01,0.01,
Marshall Islands,0.13,0.13,0.13,0.12,0.12,0.12,
Mauritania,0.32,0.32,0.32,0.23,0.19,0.19,
Mauritius,0.02,0.02,0.01,0.01,0.02,0.01,
Mexico,0.03,0.02,0.02,0.02,0.02,0.02,
Micronesia,0.09,0.07,0.07,0.07,0.06,0.06,
Moldova,0.06,0.05,0.05,0.02,0.02,0.02,
Mongolia,0.02,0.02,0.02,0.02,0.02,0.02,
Montenegro,0.02,0.02,0.02,0.02,0.02,0.02,
Morocco,0.04,0.04,0.04,0.04,0.04,0.04,
Mozambique,0.29,0.29,,0.36,0.36,0.34,
Myanmar,0.13,0.13,0.13,0.12,0.12,0.15,
Namibia,0.1,0.09,0.09,0.09,0.09,0.09,
Nauru,,,,,,,
Nepal,0.04,0.02,0.02,0.02,0.02,0.1,
Netherlands,0.01,0.01,0.01,0.01,0.01,0.01,
New Zealand,0.02,0.01,0.01,0.01,0.01,0.01,
Nicaragua,0.15,0.19,0.19,0.27,0.21,0.13,
Niger,1.43,1.42,1.69,1.12,,,
Nigeria,0.15,0.25,0.25,0.22,0.22,0.19,
North Macedonia,0.04,0.04,0.04,0.03,0.04,0.03,
Norway,0.01,0.01,0.01,0.01,0.01,0.01,
Oman,0.03,0.03,0.03,0.03,0.03,0.04,
Pakistan,0.06,0.17,0.11,0.11,0.16,0.13,
Palau,,,0.04,0.04,0.05,0.05,
Panama,0.02,0.03,0.03,0.04,0.06,0.04,
Papua New Guinea,0.05,0.31,0.31,0.13,0.13,0.12,
Paraguay,0.07,0.05,0.05,0.05,0.05,0.04,
Peru,0.03,0.03,0.03,0.04,0.04,0.03,
Philippines,0.07,0.04,0.04,0.08,0.12,0.11,
Poland,0.02,0.02,0.02,0.01,0.01,0.01,
Portugal,0.02,0.01,0.01,0.01,0.02,0.01,
Puerto Rico,,0.01,0.01,0.01,0.01,0.02,
Qatar,0.01,0.02,0.02,0.02,0.02,0.02,
Romania,0.01,0.01,0.01,0.01,0.01,0.01,
Russia,0,0.01,0.01,0.01,0.01,0.01,
Rwanda,1.4,1.25,1.25,0.48,0.46,0.42,
Saint Kitts and Nevis,0.03,0.02,0.03,0.03,0.03,0.03,
Saint Lucia,0.05,0.04,0.04,0.04,0.05,0.05,
Saint Vincent and the Grenadines,0.06,0.06,0.07,0.07,0.07,0.07,
Samoa,0.06,0.09,0.09,0.12,0.12,0.15,
Sao Tome and Principe,0.19,0.19,0.19,0.19,0.17,0.16,
Saudi Arabia,0.01,0.01,0.01,0.03,0.04,0.04,
Senegal,0.32,0.2,0.2,0.19,0.19,0.18,
Serbia,0.03,0.03,0.03,0.03,0.03,0.02,
Seychelles,0.01,0.01,0.01,0.01,0.01,0.01,
Sierra Leone,0.38,,,,,,
Singapore,0.01,0.01,0.01,0.01,0.01,0.01,
Slovakia,0.01,0.01,0.01,0.01,0.01,0.01,
Slovenia,0.02,0.02,0.02,0.02,0.02,0.02,
Solomon Islands,1.73,1.64,,0.54,0.47,0.48,
Somaliland,,,,,0.39,0.8,
South Africa,0.03,0.07,0.07,0.05,0.05,0.04,
Spain,0.01,0.02,0.02,0.02,0.02,0.01,
Sri Lanka,0.01,0.01,0.01,0.01,0.01,0.01,
State of Palestine,0.14,0.1,0.08,0.07,0.08,0.07,
S. Sudan,0.08,,,,,,
Sudan,0.08,,,,,,
Suriname,0.06,0.07,0.07,0.06,0.05,0.04,
Sweden,0.01,0.01,0.01,0.01,0.01,0.01,
Switzerland,0.01,0.01,0.01,0.01,0.01,0.01,
Tajikistan,0.09,0.08,0.08,0.07,0.07,0.06,
Tanzania,0.25,0.22,0.23,0.22,0.22,0.21,
Thailand,0.04,0.04,0.04,0.03,0.04,0.03,
Timor-Leste,0.33,0.32,0.32,0.31,0.32,0.3,
Togo,1.15,0.42,0.42,0.38,0.57,0.33,
Tonga,0.09,0.08,0.02,0.02,0.04,0.04,
Trinidad and Tobago,0.02,0.02,0.02,0.01,0.03,0.03,
Tunisia,0.01,0.04,0.03,0.03,0.03,0.03,
Turkmenistan,0.04,0.1,0.08,0.08,0.05,0.05,
Tuvalu,,,,,0.15,0.14,
Turkey,0.01,0.03,0.02,0.01,0.01,0.01,
Uganda,0.11,0.42,0.42,,,0.51,
Ukraine,0.02,0.02,0.02,0.02,0.02,0.02,
United Arab Emirates,0.01,0.01,0.01,0.01,0.01,0.01,
United Kingdom,0.01,0.01,0.01,0.02,0.01,0.01,
United States of America,0.01,0.01,0.01,0.01,0.01,0.01,
Uruguay,0,0.02,0.03,0.03,0.03,0.02,
Uzbekistan,0.03,0.02,0.02,0.02,0.02,0.02,
Vanuatu,0.23,0.22,0.22,0.3,0.33,0.3,
Viet Nam,0.02,0.04,0.04,0.04,0.04,0.03,
Yemen,0.09,0.12,0.12,0.04,,0.04,
Zambia,0.24,0.2,0.2,0.18,0.16,0.15,
Zimbabwe,0.2,0.1,,,0.18,0.09,
