Economy,2018,2019,2020,2021,2022,2023
Afghanistan,0.17,0.18,,,,
Australia,0.90,0.94,0.95,0.95,0.95,
Bangladesh,0.26,0.30,0.36,0.39,0.42,0.45
Bhutan,0.64,0.74,0.77,0.86,0.87,
Brunei Darussalam,0.95,0.95,0.95,0.96,0.99,
Cambodia,,0.52,0.54,0.56,0.57,
China,0.59,0.64,0.70,0.73,0.76,
Fiji,0.69,0.77,0.83,0.82,0.85,
"Hong Kong, China",0.91,0.92,0.92,0.93,0.96,
India,0.20,0.30,0.43,,0.48,
Indonesia,0.40,0.48,0.54,0.62,0.67,
Iran (Islamic Republic of),0.70,0.73,0.76,0.79,0.82,
Japan,0.89,0.93,0.90,0.83,0.85,
Kiribati,0.33,0.43,0.52,0.54,0.54,
Korea (Rep. of),0.96,0.96,0.97,0.98,0.97,
Lao P.D.R.,0.36,0.47,0.54,0.62,0.66,
"Macao, China",0.84,0.87,0.88,0.89,0.90,
Malaysia,0.81,0.84,0.90,0.97,0.97,
Maldives,0.71,0.78,0.79,0.85,0.84,
Marshall Islands,,,0.71,0.72,0.73,
Micronesia,0.37,0.38,0.39,0.40,0.41,
Mongolia,0.47,0.51,0.63,0.82,0.84,
Myanmar,0.34,0.48,,,,
Nauru,,0.75,0.82,0.83,0.83,
Nepal (Republic of),0.29,0.35,0.38,0.42,0.50,
New Zealand,0.89,0.90,0.95,0.96,0.96,
Pakistan,0.15,0.17,0.19,0.25,0.33,
Papua New Guinea,,0.20,0.24,0.26,0.27,
Philippines,0.44,0.43,0.54,0.63,0.72,
Samoa,0.49,0.61,0.70,0.76,0.75,
Singapore,0.88,0.89,0.92,0.97,0.96,
Solomon Islands,0.21,0.29,0.40,0.47,0.45,
Sri Lanka,0.28,0.32,0.36,0.45,0.50,
Thailand,0.57,0.67,0.78,0.85,0.88,
Timor-Leste,0.28,0.28,0.32,0.36,0.41,
Tonga,,,,0.58,,
Tuvalu,,,0.75,0.82,0.81,
Vanuatu,0.40,0.51,0.64,0.69,0.70,
Viet Nam,0.70,0.69,0.70,0.74,0.79,
